Time,Battery_SOC,Speed,MassAirFlow,Battery_J,Engine_J,Total_J
2024/04/27 14:51:14.807,21.61,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:14.817,21.61,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:14.827,21.61,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:14.837,21.61,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:14.847,21.61,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:14.857,21.61,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:14.867,21.61,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:14.877,21.6097899543379,0,0.87,-529.315068494043,1041.63265306122,512.317584567182
2024/04/27 14:51:14.887,21.6088767123288,0,0.87,-2301.36986301602,1041.63265306122,-1259.7372099548
2024/04/27 14:51:14.897,21.608,0,0.87,-2209.31506848714,1041.63265306122,-1167.68241542592
2024/04/27 14:51:14.907,21.608,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:14.917,21.608,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:14.927,21.608,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:14.937,21.608,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:14.947,21.608,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:14.957,21.6079036144578,0,0.87,-242.891566263523,1041.63265306122,798.741086797701
2024/04/27 14:51:14.967,21.607421686747,0,0.87,-1214.45783132657,1041.63265306122,-172.825178265345
2024/04/27 14:51:14.977,21.6069397590361,0,0.87,-1214.45783132657,1041.63265306122,-172.825178265345
2024/04/27 14:51:14.987,21.6064578313253,0,0.87,-1214.45783132657,1041.63265306122,-172.825178265345
2024/04/27 14:51:14.997,21.606,0,0.87,-1153.73493975397,1041.63265306122,-112.10228669275
2024/04/27 14:51:15.007,21.606,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:15.017,21.606,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:15.027,21.606,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:15.037,21.606,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:15.047,21.606,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:15.057,21.6059479905437,0,0.87,-131.063829779521,1041.63265306122,910.568823281704
2024/04/27 14:51:15.067,21.6057115839244,0,0.87,-595.744680862396,1041.63265306122,445.887972198829
2024/04/27 14:51:15.077,21.605475177305,0,0.87,-595.74468084449,1041.63265306122,445.887972216735
2024/04/27 14:51:15.087,21.6052387706856,0,0.87,-595.744680853443,1041.63265306122,445.887972207782
2024/04/27 14:51:15.097,21.6050023640662,0,0.87,-595.744680862396,1041.63265306122,445.887972198829
2024/04/27 14:51:15.107,21.605,0,0.87,-5.95744680083499,1041.63265306122,1035.67520626039
2024/04/27 14:51:15.117,21.604948,0,0.87,-131.039999991458,1041.63265306122,910.592653069767
2024/04/27 14:51:15.127,21.604748,0,0.87,-504.000000007778,1041.63265306122,537.632653053446
2024/04/27 14:51:15.137,21.604548,0,0.87,-503.999999998825,1041.63265306122,537.632653062399
2024/04/27 14:51:15.147,21.604348,0,0.87,-503.999999998825,1041.63265306122,537.632653062399
2024/04/27 14:51:15.157,21.604148,0,0.87,-503.999999998825,1041.63265306122,537.632653062399
2024/04/27 14:51:15.167,21.603948,0,0.87,-503.999999998825,1041.63265306122,537.632653062399
2024/04/27 14:51:15.177,21.603748,0,0.87,-503.999999998825,1041.63265306122,537.632653062399
2024/04/27 14:51:15.187,21.603548,0,0.87,-504.000000007778,1041.63265306122,537.632653053446
2024/04/27 14:51:15.197,21.603348,0,0.87,-503.999999998825,1041.63265306122,537.632653062399
2024/04/27 14:51:15.207,21.603148,0,0.87,-503.999999998825,1041.63265306122,537.632653062399
2024/04/27 14:51:15.217,21.603,0,0.87,-372.959999998415,1041.63265306122,668.67265306281
2024/04/27 14:51:15.227,21.603,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:15.237,21.603,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:15.247,21.603,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:15.257,21.603,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:15.267,21.603,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:15.277,21.6028425925926,0,0.87,-396.666666665908,1041.63265306122,644.965986395317
2024/04/27 14:51:15.287,21.6019166666667,0,0.87,-2333.33333333519,1041.63265306122,-1291.70068027397
2024/04/27 14:51:15.297,21.601,0,0.87,-2310.00000000506,1041.63265306122,-1268.36734694384
2024/04/27 14:51:15.307,21.601,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:15.317,21.601,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:15.327,21.601,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:15.337,21.601,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:15.347,21.601,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:15.357,21.601,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:15.367,21.601,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:15.377,21.601,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:15.387,21.6006806722689,0,0.87,-804.705882359116,1041.63265306122,236.926770702109
2024/04/27 14:51:15.397,21.599,0,0.87,-4235.29411763809,1041.63265306122,-3193.66146457687
2024/04/27 14:51:15.407,21.599,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:15.417,21.599,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:15.427,21.599,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:15.437,21.599,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:15.447,21.5989634551495,0,0.87,-92.0930232565809,1041.63265306122,949.539629804644
2024/04/27 14:51:15.457,21.5987973421927,0,0.87,-418.604651166277,1041.63265306122,623.028001894948
2024/04/27 14:51:15.467,21.5986312292359,0,0.87,-418.604651166277,1041.63265306122,623.028001894948
2024/04/27 14:51:15.477,21.5984651162791,0,0.87,-418.604651157324,1041.63265306122,623.028001903901
2024/04/27 14:51:15.487,21.5982990033223,0,0.87,-418.604651166277,1041.63265306122,623.028001894948
2024/04/27 14:51:15.497,21.5981328903654,0,0.87,-418.604651157324,1041.63265306122,623.028001903901
2024/04/27 14:51:15.507,21.598,0,0.87,-334.883720933021,1041.63265306122,706.748932128203
2024/04/27 14:51:15.517,21.598,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:15.527,21.598,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:15.537,21.598,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:51:15.547,21.5979338521401,0,0.87,-166.692607003398,1041.63265306122,874.940046057827
2024/04/27 14:51:15.557,21.5975447470817,0,0.87,-980.544747077232,1041.63265306122,61.0879059839924
