Time,Battery_SOC,Speed,MassAirFlow,Battery_J,Engine_J,Total_J
2024/04/27 14:47:37.195,19.557,0,0.87,-5040.00000000616,1041.63265306122,-3998.36734694493
2024/04/27 14:47:37.205,19.557,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:47:37.215,19.557,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:47:37.225,19.557,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:47:37.235,19.557,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:47:37.245,19.557,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 14:47:37.255,19.5569387581514,0,0.87,-154.329458459443,1041.63265306122,887.303194601781
2024/04/27 14:47:37.265,19.5567119364899,0,0.87,-571.590586906723,1041.63265306122,470.042066154502
2024/04/27 14:47:37.275,19.5564851148285,0,0.87,-571.59058689777,1041.63265306122,470.042066163455
2024/04/27 14:47:37.285,19.556258293167,0,0.87,-571.59058689777,1041.63265306122,470.042066163455
2024/04/27 14:47:37.295,19.5560314715055,0,0.87,-571.590586906723,1041.63265306122,470.042066154502
2024/04/27 14:47:37.305,19.5558046498441,0,0.87,-571.590586906723,1041.63265306122,470.042066154502
2024/04/27 14:47:37.315,19.5555778281826,0,0.87,-571.59058689777,1041.63265306122,470.042066163455
2024/04/27 14:47:37.325,19.5553510065211,0,0.87,-571.59058689777,1041.63265306122,470.042066163455
2024/04/27 14:47:37.335,19.5551241848597,0,0.87,-571.59058689777,1041.63265306122,470.042066163455
2024/04/27 14:47:37.345,19.5548973631982,0,0.87,-571.590586906723,1041.63265306122,470.042066154502
2024/04/27 14:47:37.355,19.5546705415367,0,0.87,-571.59058689777,1041.63265306122,470.042066163455
2024/04/27 14:47:37.365,19.5544437198752,0,0.87,-571.59058689777,1041.63265306122,470.042066163455
2024/04/27 14:47:37.375,19.5542168982138,0,0.87,-571.590586906723,1041.63265306122,470.042066154502
2024/04/27 14:47:37.385,19.5539900765523,0,0.87,-571.59058689777,1041.63265306122,470.042066163455
2024/04/27 14:47:37.395,19.5537632548908,0,0.87,-571.59058689777,1041.63265306122,470.042066163455
2024/04/27 14:47:37.405,19.5535364332294,0,0.87,-571.59058689777,1041.63265306122,470.042066163455
2024/04/27 14:47:37.415,19.5533096115679,0,0.87,-571.590586906723,1041.63265306122,470.042066154502
2024/04/27 14:47:37.425,19.5530827899064,0,0.87,-571.590586906723,1041.63265306122,470.042066154502
2024/04/27 14:47:37.435,19.552855968245,0,0.87,-571.59058689777,1041.63265306122,470.042066163455
2024/04/27 14:47:37.445,19.5526291465835,0,0.87,-571.59058689777,1041.63265306122,470.042066163455
