Time,Battery_SOC,Speed,MassAirFlow,Battery_J,Engine_J,Total_J
2024/04/27 17:34:14.579,21.2348608272083,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.589,21.2347216544166,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.599,21.2345824816248,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.609,21.2344433088331,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.619,21.2343041360414,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.629,21.2341649632497,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.639,21.234025790458,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.649,21.2338866176662,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.659,21.2337474448745,0,0.87,-350.715435124158,1041.63265306122,690.917217937066
2024/04/27 17:34:14.669,21.2336082720828,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.679,21.2334690992911,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.689,21.2333299264994,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.699,21.2331907537076,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.709,21.2330515809159,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.719,21.2329124081242,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.729,21.2327732353325,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.739,21.2326340625408,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.749,21.2324948897491,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.759,21.2323557169573,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.769,21.2322165441656,0,0.87,-350.715435124158,1041.63265306122,690.917217937066
2024/04/27 17:34:14.779,21.2320773713739,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.789,21.2319381985822,0,0.87,-350.715435142064,1041.63265306122,690.917217919161
2024/04/27 17:34:14.799,21.2317990257905,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.809,21.2316598529987,0,0.87,-350.715435124158,1041.63265306122,690.917217937066
2024/04/27 17:34:14.819,21.231520680207,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.829,21.2313815074153,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.839,21.2312423346236,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.849,21.2311031618319,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.859,21.2309639890401,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.869,21.2308248162484,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.879,21.2306856434567,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.889,21.230546470665,0,0.87,-350.715435124158,1041.63265306122,690.917217937066
2024/04/27 17:34:14.899,21.2304072978733,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.909,21.2302681250815,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.919,21.2301289522898,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.929,21.2299897794981,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.939,21.2298506067064,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.949,21.2297114339147,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.959,21.229572261123,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.969,21.2294330883312,0,0.87,-350.715435142064,1041.63265306122,690.917217919161
2024/04/27 17:34:14.979,21.2292939155395,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.989,21.2291547427478,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:14.999,21.2290155699561,0,0.87,-350.715435115205,1041.63265306122,690.917217946019
2024/04/27 17:34:15.009,21.2288763971644,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:15.019,21.2287372243726,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:15.029,21.2285980515809,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:15.039,21.2284588787892,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:15.049,21.2283197059975,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:15.059,21.2281805332058,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:15.069,21.228041360414,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:15.079,21.2279021876223,0,0.87,-350.715435142064,1041.63265306122,690.917217919161
2024/04/27 17:34:15.089,21.2277630148306,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:15.099,21.2276238420389,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
2024/04/27 17:34:15.109,21.2274846692472,0,0.87,-350.715435124158,1041.63265306122,690.917217937066
2024/04/27 17:34:15.119,21.2273454964554,0,0.87,-350.715435133111,1041.63265306122,690.917217928114
