Time,Battery_SOC,Speed,MassAirFlow,Battery_J,Engine_J,Total_J
2024/04/27 17:07:04.102,26.3715134474328,17.82713399,32.0248689138577,1293.88753056176,38342.7001961834,39636.5877267451
2024/04/27 17:07:04.112,26.3729804400978,17.8567230852381,31.8742586750789,3696.8215158933,38162.3777334278,41859.1992493211
2024/04/27 17:07:04.122,26.3744474327628,17.8863121804762,31.7827760252366,3696.8215158933,38052.8474859976,41749.6690018909
2024/04/27 17:07:04.132,26.3759144254279,17.9159012757143,31.6912933753943,3696.8215158933,37943.3172385674,41640.1387544607
2024/04/27 17:07:04.142,26.377,17.9454903709524,31.6388442211055,2735.6479217589,37880.520972208,40616.1688939669
2024/04/27 17:07:04.152,26.377,17.9750794661905,31.6656448911223,0,37912.6088492348,37912.6088492348
2024/04/27 17:07:04.162,26.377,18.0046685614286,31.692445561139,0,37944.6967262617,37944.6967262617
2024/04/27 17:07:04.172,26.377,18.019759,31.7192462311558,0,37976.7846032885,37976.7846032885
2024/04/27 17:07:04.182,26.377,18.019759,31.7460469011725,0,38008.8724803154,38008.8724803154
2024/04/27 17:07:04.192,26.377,18.019759,31.7728475711893,0,38040.9603573423,38040.9603573423
2024/04/27 17:07:04.202,26.377,18.019759,31.8088811188811,0,38084.1025641026,38084.1025641026
2024/04/27 17:07:04.212,26.377,18.019759,31.8613286713287,0,38146.8969126112,38146.8969126112
2024/04/27 17:07:04.222,26.3783103448276,18.019759,31.9137762237762,3302.06896551942,38209.6912611198,41511.7602266393
2024/04/27 17:07:04.232,26.3817586206897,18.019759,31.94,8689.65517241577,38241.0884353742,46930.7436077899
2024/04/27 17:07:04.242,26.384,18.019759,31.94,5648.27586206846,38241.0884353742,43889.3642974426
2024/04/27 17:07:04.252,26.384,18.019759,31.94,0,38241.0884353742,38241.0884353742
2024/04/27 17:07:04.262,26.384,18.019759,31.9011486486487,0,38194.5725317154,38194.5725317154
2024/04/27 17:07:04.272,26.384,18.019759,31.8166891891892,0,38093.4510020224,38093.4510020224
2024/04/27 17:07:04.282,26.384,18.019759,31.7322297297297,0,37992.3294723295,37992.3294723295
2024/04/27 17:07:04.292,26.384,18.019759,31.6566666666667,0,37901.8594104308,37901.8594104308
2024/04/27 17:07:04.302,26.384,18.019759,31.59,0,37822.0408163265,37822.0408163265
2024/04/27 17:07:04.312,26.384,18.019759,31.5233333333333,0,37742.2222222222,37742.2222222222
2024/04/27 17:07:04.322,26.384,18.0289679070026,31.4566666666667,0,37662.4036281179,37662.4036281179
2024/04/27 17:07:04.332,26.38575,18.0519901745091,31.39,4410.00000000315,37582.5850340136,41992.5850340168
2024/04/27 17:07:04.342,26.38825,18.0750124420156,31.3233333333333,6299.99999999427,37502.7664399093,43802.7664399036
2024/04/27 17:07:04.352,26.39075,18.098034709522,31.2520786516854,6299.99999999427,37417.454712222,43717.4547122162
2024/04/27 17:07:04.362,26.391733410943,18.1210569770285,31.1762359550562,2478.1955762532,37326.6498509516,39804.8454272048
2024/04/27 17:07:04.372,26.3925483119907,18.144079244535,31.100393258427,2053.550640277,37235.8449896813,39289.3956299583
2024/04/27 17:07:04.382,26.3933632130384,18.1671015120415,31.0245505617978,2053.55064028595,37145.0401284109,39198.5907686969
2024/04/27 17:07:04.392,26.3941781140861,18.190123779548,30.9968852459016,2053.550640277,37111.9170291067,39165.4676693837
2024/04/27 17:07:04.402,26.3949930151339,18.2131460470545,30.9722950819672,2053.55064028595,37082.4757443961,39136.0263846821
2024/04/27 17:07:04.412,26.3958079161816,18.2361683145609,31.0124590163934,2053.55064026804,37130.5631760901,39184.1138163582
2024/04/27 17:07:04.422,26.3966228172293,18.2591905820674,31.1173770491803,2053.55064028595,37256.1793241887,39309.7299644746
2024/04/27 17:07:04.432,26.3974377182771,18.2822128495739,31.2222950819672,2053.550640277,37381.7954722873,39435.3461125643
2024/04/27 17:07:04.442,26.398,18.3052351170804,31.2815254237288,1416.94994179659,37452.7107114032,38869.6606531998
2024/04/27 17:07:04.452,26.398,18.3282573845869,31.2849152542373,0,37456.7692839848,37456.7692839848
2024/04/27 17:07:04.462,26.398,18.3512796520934,31.2883050847458,0,37460.8278565664,37460.8278565664
2024/04/27 17:07:04.472,26.398,18.3743019195999,31.3117391304348,0,37488.8849452825,37488.8849452825
2024/04/27 17:07:04.482,26.398,18.3973241871063,31.3552173913044,0,37540.9405501331,37540.9405501331
2024/04/27 17:07:04.492,26.398,18.4203464546128,31.3986956521739,0,37592.9961549837,37592.9961549837
2024/04/27 17:07:04.502,26.398,18.4433687221193,31.4038129496403,0,37599.1229873244,37599.1229873244
2024/04/27 17:07:04.512,26.398,18.4663909896258,31.3102877697842,0,37487.1472617824,37487.1472617824
2024/04/27 17:07:04.522,26.398,18.4894132571323,31.2167625899281,0,37375.1715362404,37375.1715362404
2024/04/27 17:07:04.532,26.40075,18.5124355246388,31.1156869009585,6929.99999999728,37254.1557453652,44184.1557453625
2024/04/27 17:07:04.542,26.4049166666667,18.5354577921452,31.0070607028754,10499.9999999994,37124.099889157,47624.0998891564
2024/04/27 17:07:04.552,26.406,18.5584800596517,30.8984345047924,2730.0000000011,36994.0440329487,39724.0440329498
2024/04/27 17:07:04.562,26.406,18.5815023271582,30.7217073170732,0,36782.4522979925,36782.4522979925
2024/04/27 17:07:04.572,26.406,18.6045245946647,30.4290243902439,0,36432.0292019247,36432.0292019247
2024/04/27 17:07:04.582,26.406,18.6275468621712,30.1363414634146,0,36081.606105857,36081.606105857
2024/04/27 17:07:04.592,26.406,18.6505691296777,29.97738170347,0,35891.2869374879,35891.2869374879
2024/04/27 17:07:04.602,26.406,18.6735913971841,29.9521451104101,0,35861.0716968175,35861.0716968175
2024/04/27 17:07:04.612,26.406,18.6966136646906,29.9269085173502,0,35830.8564561471,35830.8564561471
2024/04/27 17:07:04.622,26.406,18.7196359321971,29.9554770318021,0,35865.0609360352,35865.0609360352
2024/04/27 17:07:04.632,26.4073002544529,18.7426581997036,30.0932862190813,3276.64122138003,36030.0569697844,39306.6981911644
2024/04/27 17:07:04.642,26.4090814249364,18.7656804672101,30.2310954063604,4488.54961831373,36195.0530035336,40683.6026218473
2024/04/27 17:07:04.652,26.4108625954199,18.7887027347166,30.2894578313253,4488.54961833163,36264.9291041718,40753.4787225034
2024/04/27 17:07:04.662,26.4126437659033,18.811725002223,30.2683734939759,4488.54961831373,36239.6852716991,40728.2348900128
2024/04/27 17:07:04.672,26.413,18.8347472697295,30.2472891566265,897.709923664536,36214.4414392263,37112.1513628908
2024/04/27 17:07:04.682,26.413,18.857769537236,30.1923880597015,0,36148.7095136562,36148.7095136562
2024/04/27 17:07:04.692,26.413,18.8807918047425,29.9834328358209,0,35898.5318306427,35898.5318306427
2024/04/27 17:07:04.702,26.413,18.903814072249,29.7744776119403,0,35648.3541476292,35648.3541476292
2024/04/27 17:07:04.712,26.413,18.9268363397555,29.6542271293375,0,35504.3807807035,35504.3807807035
2024/04/27 17:07:04.722,26.413,18.9498586072619,29.6226813880126,0,35466.6117298655,35466.6117298655
2024/04/27 17:07:04.732,26.4147073170732,18.9728808747684,29.5911356466877,4302.43902439528,35428.8426790275,39731.2817034227
2024/04/27 17:07:04.742,26.4171463414634,18.9959031422749,29.5177112676056,6146.34146340904,35340.9332183578,41487.2746817668
2024/04/27 17:07:04.752,26.4195853658537,19.0189254097814,29.3592605633803,6146.34146340904,35151.2235316662,41297.5649950753
2024/04/27 17:07:04.762,26.421,19.0419476772879,29.200809859155,3564.87804878441,34961.5138449747,38526.3918937591
2024/04/27 17:07:04.772,26.421,19.0649699447944,29.0321698113208,0,34759.6046720575,34759.6046720575
2024/04/27 17:07:04.782,26.421,19.0879922123008,28.8529245283019,0,34544.9980747016,34544.9980747016
2024/04/27 17:07:04.792,26.421,19.1110144798073,28.6736792452831,0,34330.3914773457,34330.3914773457
2024/04/27 17:07:04.802,26.421,19.1340367473138,28.5477935943061,0,34179.6712421624,34179.6712421624
2024/04/27 17:07:04.812,26.421,19.1570590148203,28.5406761565836,0,34171.1496840729,34171.1496840729
2024/04/27 17:07:04.822,26.4220424710425,19.1800812823268,28.5335587188612,2627.02702701745,34162.6281259835,36789.6551530009
2024/04/27 17:07:04.832,26.4255173745174,19.2031035498333,28.5166666666667,8756.75675677257,34142.4036281179,42899.1603848905
2024/04/27 17:07:04.842,26.4289922779923,19.2261258173397,28.49,8756.75675674572,34110.4761904762,42867.2329472219
2024/04/27 17:07:04.852,26.43,19.2491480848462,28.4633333333333,2539.45945946512,34078.5487528345,36618.0082122996
2024/04/27 17:07:04.862,26.43,19.279980961152,28.4366666666667,0,34046.6213151927,34046.6213151927
2024/04/27 17:07:04.872,26.43,19.3215999162759,28.41,0,34014.693877551,34014.693877551
2024/04/27 17:07:04.882,26.43,19.3632188713999,28.3833333333333,0,33982.7664399093,33982.7664399093
2024/04/27 17:07:04.892,26.43,19.4048378265238,28.3207936507937,0,33907.8889968686,33907.8889968686
