Time,Battery_SOC,Speed,MassAirFlow,Battery_J,Engine_J,Total_J
2024/04/27 15:24:28.937,23.809,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 15:24:28.947,23.809,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 15:24:28.957,23.809,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 15:24:28.967,23.809,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 15:24:28.977,23.809,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 15:24:28.987,23.809,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 15:24:28.997,23.809,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 15:24:29.007,23.8089859719439,0,0.87,-35.3507014074239,1041.63265306122,1006.2819516538
2024/04/27 15:24:29.017,23.8087855711423,0,0.87,-505.010020030596,1041.63265306122,536.622633030628
2024/04/27 15:24:29.027,23.8085851703407,0,0.87,-505.010020048502,1041.63265306122,536.622633012723
2024/04/27 15:24:29.037,23.8083847695391,0,0.87,-505.010020048502,1041.63265306122,536.622633012723
2024/04/27 15:24:29.047,23.8081843687375,0,0.87,-505.010020030596,1041.63265306122,536.622633030628
2024/04/27 15:24:29.057,23.8079839679359,0,0.87,-505.010020039549,1041.63265306122,536.622633021675
2024/04/27 15:24:29.067,23.8077835671343,0,0.87,-505.010020039549,1041.63265306122,536.622633021675
2024/04/27 15:24:29.077,23.8075831663327,0,0.87,-505.010020048502,1041.63265306122,536.622633012723
2024/04/27 15:24:29.087,23.8073827655311,0,0.87,-505.010020039549,1041.63265306122,536.622633021675
2024/04/27 15:24:29.097,23.8071823647295,0,0.87,-505.010020030596,1041.63265306122,536.622633030628
2024/04/27 15:24:29.107,23.8069138755981,0,0.87,-676.592611066411,1041.63265306122,365.040041994813
2024/04/27 15:24:29.117,23.805956937799,0,0.87,-2411.48325358679,1041.63265306122,-1369.85060052557
2024/04/27 15:24:29.127,23.805,0,0.87,-2411.48325358679,1041.63265306122,-1369.85060052557
2024/04/27 15:24:29.137,23.805,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 15:24:29.147,23.805,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 15:24:29.157,23.805,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 15:24:29.167,23.805,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 15:24:29.177,23.805,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 15:24:29.187,23.805,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 15:24:29.197,23.805,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 15:24:29.207,23.8049820359281,0,0.87,-45.2694610744686,1041.63265306122,996.363191986756
2024/04/27 15:24:29.217,23.8047824351297,0,0.87,-502.994011985294,1041.63265306122,538.638641075931
2024/04/27 15:24:29.227,23.8045828343313,0,0.87,-502.994011967388,1041.63265306122,538.638641093836
2024/04/27 15:24:29.237,23.8043832335329,0,0.87,-502.994011985294,1041.63265306122,538.638641075931
2024/04/27 15:24:29.247,23.8041836327345,0,0.87,-502.994011976341,1041.63265306122,538.638641084884
2024/04/27 15:24:29.257,23.8039840319361,0,0.87,-502.994011967388,1041.63265306122,538.638641093836
2024/04/27 15:24:29.267,23.8037844311377,0,0.87,-502.994011976341,1041.63265306122,538.638641084884
2024/04/27 15:24:29.277,23.8035848303393,0,0.87,-502.994011976341,1041.63265306122,538.638641084884
2024/04/27 15:24:29.287,23.8033852295409,0,0.87,-502.994011967388,1041.63265306122,538.638641093836
2024/04/27 15:24:29.297,23.8031856287425,0,0.87,-502.994011985294,1041.63265306122,538.638641075931
2024/04/27 15:24:29.307,23.802986,0,0.87,-503.064431136124,1041.63265306122,538.5682219251
2024/04/27 15:24:29.317,23.802786,0,0.87,-504.000000007778,1041.63265306122,537.632653053446
2024/04/27 15:24:29.327,23.802586,0,0.87,-503.999999989873,1041.63265306122,537.632653071352
2024/04/27 15:24:29.337,23.802386,0,0.87,-503.999999998825,1041.63265306122,537.632653062399
2024/04/27 15:24:29.347,23.802186,0,0.87,-504.000000007778,1041.63265306122,537.632653053446
2024/04/27 15:24:29.357,23.801986,0,0.87,-503.999999998825,1041.63265306122,537.632653062399
2024/04/27 15:24:29.367,23.801786,0,0.87,-503.999999998825,1041.63265306122,537.632653062399
2024/04/27 15:24:29.377,23.801586,0,0.87,-503.999999998825,1041.63265306122,537.632653062399
2024/04/27 15:24:29.387,23.801386,0,0.87,-504.000000007778,1041.63265306122,537.632653053446
2024/04/27 15:24:29.397,23.801186,0,0.87,-503.999999998825,1041.63265306122,537.632653062399
2024/04/27 15:24:29.407,23.8009323671498,0,0.87,-639.154782610518,1041.63265306122,402.477870450706
2024/04/27 15:24:29.417,23.7999661835749,0,0.87,-2434.78260869253,1041.63265306122,-1393.14995563131
2024/04/27 15:24:29.427,23.799,0,0.87,-2434.78260869253,1041.63265306122,-1393.14995563131
2024/04/27 15:24:29.437,23.799,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 15:24:29.447,23.799,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 15:24:29.457,23.799,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 15:24:29.467,23.799,0,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 15:24:29.477,23.799,0,0.87,0,1041.63265306122,1041.63265306122
