Time,Battery_SOC,Speed,MassAirFlow,Battery_J,Engine_J,Total_J
2024/04/27 17:48:50.114,25.429991902834,21.1064976726619,3.71900000000007,15813.7651821889,4452.68027210892,20266.4454542978
2024/04/27 17:48:50.124,25.4354170854271,20.9947402985612,3.19400000000007,13671.4601346847,3824.10884353749,17495.5689782222
2024/04/27 17:48:50.134,25.4404422110553,20.8829829244604,2.66900000000007,12663.3165829143,3195.53741496607,15858.8539978804
2024/04/27 17:48:50.144,25.4454673366834,20.7712255503597,2.48,12663.3165829054,2969.25170068027,15632.5682835857
2024/04/27 17:48:50.154,25.4504924623116,20.659468176259,2.48,12663.3165829233,2969.25170068027,15632.5682836036
2024/04/27 17:48:50.164,25.4555175879397,20.5477108021583,2.48,12663.3165829143,2969.25170068027,15632.5682835946
2024/04/27 17:48:50.174,25.4605427135678,20.445421568323,2.48,12663.3165829143,2969.25170068027,15632.5682835946
2024/04/27 17:48:50.184,25.462,20.3489353881988,2.48,3672.36180904328,2969.25170068027,6641.61350972355
2024/04/27 17:48:50.194,25.462,20.2524492080745,2.48,0,2969.25170068027,2969.25170068027
2024/04/27 17:48:50.204,25.462,20.1559630279503,2.34073089700999,0,2802.50774063781,2802.50774063781
2024/04/27 17:48:50.214,25.462,20.0594768478261,2.12312292358805,0,2541.97030307141,2541.97030307141
2024/04/27 17:48:50.224,25.462,19.9629906677019,1.90551495016611,0,2281.43286550501,2281.43286550501
2024/04/27 17:48:50.234,25.462,19.8577090105263,1.68790697674418,0,2020.8954279386,2020.8954279386
2024/04/27 17:48:50.244,25.462,19.7123590690059,1.47029900332224,0,1760.3579903722,1760.3579903722
2024/04/27 17:48:50.254,25.4683129251701,19.5670091274854,1.2526910299003,15908.5714285713,1499.8205528058,17408.3919813771
2024/04/27 17:48:50.264,25.4781768707483,19.4216591859649,1.17,24857.1428571354,1400.81632653061,26257.959183666
2024/04/27 17:48:50.274,25.4880408163265,19.2763092444445,1.17,24857.1428571444,1400.81632653061,26257.959183675
2024/04/27 17:48:50.284,25.491,19.130959302924,1.17,7457.14285714868,1400.81632653061,8857.9591836793
2024/04/27 17:48:50.294,25.491,18.9856093614035,1.15008888888889,0,1376.97717309146,1376.97717309146
2024/04/27 17:48:50.304,25.491,18.8402594198831,1.11897777777778,0,1339.72849584279,1339.72849584279
2024/04/27 17:48:50.314,25.491,18.6949094783626,1.08786666666667,0,1302.47981859411,1302.47981859411
2024/04/27 17:48:50.324,25.491,18.64113,1.05675555555556,0,1265.23114134543,1265.23114134543
2024/04/27 17:48:50.334,25.491,18.64113,1.02564444444445,0,1227.98246409675,1227.98246409675
2024/04/27 17:48:50.344,25.491,18.64113,0.994533333333337,0,1190.73378684808,1190.73378684808
2024/04/27 17:48:50.354,25.491,18.5797214757119,0.963422222222226,0,1153.4851095994,1153.4851095994
2024/04/27 17:48:50.364,25.491,18.4756392311558,0.932311111111115,0,1116.23643235072,1116.23643235072
2024/04/27 17:48:50.374,25.4971494661922,18.3715569865997,0.901200000000004,15496.6548042682,1078.98775510205,16575.6425593703
2024/04/27 17:48:50.384,25.5067580071174,18.2674747420436,0.888933333333334,24213.5231316736,1064.30113378685,25277.8242654605
2024/04/27 17:48:50.394,25.5163665480427,18.1633924974874,0.887266666666667,24213.5231316736,1062.30566893424,25275.8288006079
2024/04/27 17:48:50.404,25.518,18.0593102529313,0.8856,4116.29893238711,1060.31020408163,5176.60913646874
2024/04/27 17:48:50.414,25.518,17.8913423266667,0.883933333333334,0,1058.31473922903,1058.31473922903
2024/04/27 17:48:50.424,25.5212072368421,17.68421866,0.882266666666667,8082.23684210404,1056.31927437642,9138.55611648046
2024/04/27 17:48:50.434,25.5253190789474,17.4770949933333,0.8806,10361.8421052646,1054.32380952381,11416.1659147884
2024/04/27 17:48:50.444,25.5294309210526,17.398388,0.878933333333334,10361.8421052556,1052.3283446712,11414.1704499268
2024/04/27 17:48:50.454,25.5335427631579,17.398388,0.877266666666667,10361.8421052735,1050.33287981859,11412.1749850921
2024/04/27 17:48:50.464,25.5376546052632,17.398388,0.8756,10361.8421052556,1048.33741496599,11410.1795202216
2024/04/27 17:48:50.474,25.5417664473684,17.3366368447205,0.873933333333334,10361.8421052556,1046.34195011338,11408.184055369
2024/04/27 17:48:50.484,25.543,17.2401506645963,0.872266666666667,3108.55263158743,1044.34648526077,4152.8991168482
2024/04/27 17:48:50.494,25.543,17.1436644844721,0.8706,0,1042.35102040816,1042.35102040816
2024/04/27 17:48:50.504,25.543,17.0471783043479,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 17:48:50.514,25.543,16.9506921242236,0.87,0,1041.63265306122,1041.63265306122
2024/04/27 17:48:50.524,25.543,16.8542059440994,0.87,0,1041.63265306122,1041.63265306122
